close,rec_date,volume,name,symbol
336.5299988000,2022-12-30,1740300,Adobe Inc.,ADBE
45.7099990800,2022-12-30,5025200,"Altria Group, Inc.",MO
84.0000000000,2022-12-30,62330000,"Amazon.com, Inc.",AMZN
64.7699966400,2022-12-30,37099800,"Advanced Micro Devices, Inc.",AMD
12.7200002700,2022-12-30,18976200,"American Airlines Group, Inc.",AAL
129.9299927000,2022-12-30,76960600,Apple Inc.,AAPL
18.4099998500,2022-12-30,26200800,AT&T Inc.,T
708.6300049000,2022-12-30,413000,"BlackRock, Inc.",BLK
122.1800003000,2022-12-30,1164400,Electronic Arts Inc.,EA
655.0300293000,2022-12-30,268500,"Equinix, Inc.",EQIX
38.0699996900,2012-01-03,1938000,AmerisourceBergen Corporation,ABC
38.2000007600,2012-01-04,1603000,AmerisourceBergen Corporation,ABC
38.4900016800,2012-01-05,2376000,AmerisourceBergen Corporation,ABC
38.5900001500,2012-01-06,1775100,AmerisourceBergen Corporation,ABC
38.5699996900,2012-01-09,1222700,AmerisourceBergen Corporation,ABC
39.0099983200,2012-01-10,1535300,AmerisourceBergen Corporation,ABC
38.6100006100,2012-01-11,1130800,AmerisourceBergen Corporation,ABC
38.8400001500,2012-01-12,1248100,AmerisourceBergen Corporation,ABC
37.7999992400,2012-01-13,2481300,AmerisourceBergen Corporation,ABC
38.2999992400,2012-01-17,1531300,AmerisourceBergen Corporation,ABC
39.0400009200,2012-01-18,1616000,AmerisourceBergen Corporation,ABC
39.4000015300,2012-01-19,1675100,AmerisourceBergen Corporation,ABC
40.0900001500,2012-01-20,2798400,AmerisourceBergen Corporation,ABC
39.7999992400,2012-01-23,2544300,AmerisourceBergen Corporation,ABC
39.5499992400,2012-01-24,1936900,AmerisourceBergen Corporation,ABC
39.7200012200,2012-01-25,2231800,AmerisourceBergen Corporation,ABC
39.0000000000,2012-01-26,6379700,AmerisourceBergen Corporation,ABC
38.9799995400,2012-01-27,3142600,AmerisourceBergen Corporation,ABC
38.8199996900,2012-01-30,3913100,AmerisourceBergen Corporation,ABC
38.9700012200,2012-01-31,2775600,AmerisourceBergen Corporation,ABC
39.8100013700,2012-02-01,2389200,AmerisourceBergen Corporation,ABC
39.3400001500,2012-02-02,2611700,AmerisourceBergen Corporation,ABC
39.2299995400,2012-02-03,2692100,AmerisourceBergen Corporation,ABC
38.9799995400,2012-02-06,2548000,AmerisourceBergen Corporation,ABC
38.8699989300,2012-02-07,2037800,AmerisourceBergen Corporation,ABC
39.3499984700,2012-02-08,2135300,AmerisourceBergen Corporation,ABC
38.9700012200,2012-02-09,1483600,AmerisourceBergen Corporation,ABC
38.5999984700,2012-02-10,1855400,AmerisourceBergen Corporation,ABC
37.2099990800,2012-02-13,8235000,AmerisourceBergen Corporation,ABC
37.5499992400,2012-02-14,4704100,AmerisourceBergen Corporation,ABC
36.7099990800,2012-02-15,3655400,AmerisourceBergen Corporation,ABC
36.9599990800,2012-02-16,2789800,AmerisourceBergen Corporation,ABC
36.6800003100,2012-02-17,3168100,AmerisourceBergen Corporation,ABC
36.1899986300,2012-02-21,3091000,AmerisourceBergen Corporation,ABC
36.7999992400,2012-02-22,4185800,AmerisourceBergen Corporation,ABC
37.4399986300,2012-02-23,2907200,AmerisourceBergen Corporation,ABC
37.7000007600,2012-02-24,2312500,AmerisourceBergen Corporation,ABC
37.7000007600,2012-02-27,2284200,AmerisourceBergen Corporation,ABC
37.7000007600,2012-02-28,1985800,AmerisourceBergen Corporation,ABC
37.3699989300,2012-02-29,2770600,AmerisourceBergen Corporation,ABC
37.2999992400,2012-03-01,2821500,AmerisourceBergen Corporation,ABC
36.5900001500,2012-03-02,2262500,AmerisourceBergen Corporation,ABC
36.5499992400,2012-03-05,2289400,AmerisourceBergen Corporation,ABC
36.2799987800,2012-03-06,3321300,AmerisourceBergen Corporation,ABC
36.8499984700,2012-03-07,1638900,AmerisourceBergen Corporation,ABC
37.4500007600,2012-03-08,3583900,AmerisourceBergen Corporation,ABC
37.8600006100,2012-03-09,3661500,AmerisourceBergen Corporation,ABC
37.7400016800,2012-03-12,1948200,AmerisourceBergen Corporation,ABC
38.0200004600,2012-03-13,3130600,AmerisourceBergen Corporation,ABC
38.2400016800,2012-03-14,3182500,AmerisourceBergen Corporation,ABC
37.9099998500,2012-03-15,2487700,AmerisourceBergen Corporation,ABC
38.3199996900,2012-03-16,3077500,AmerisourceBergen Corporation,ABC
38.5600013700,2012-03-19,2628500,AmerisourceBergen Corporation,ABC
38.8100013700,2012-03-20,3602800,AmerisourceBergen Corporation,ABC
38.5600013700,2012-03-21,2665800,AmerisourceBergen Corporation,ABC
38.2900009200,2012-03-22,2283300,AmerisourceBergen Corporation,ABC
38.9599990800,2012-03-23,2965500,AmerisourceBergen Corporation,ABC
39.5999984700,2012-03-26,2328100,AmerisourceBergen Corporation,ABC
39.4799995400,2012-03-27,2265900,AmerisourceBergen Corporation,ABC
39.0800018300,2012-03-28,1812800,AmerisourceBergen Corporation,ABC
39.2000007600,2012-03-29,1860700,AmerisourceBergen Corporation,ABC
39.6599998500,2012-03-30,2769300,AmerisourceBergen Corporation,ABC
39.1899986300,2012-04-02,2359400,AmerisourceBergen Corporation,ABC
38.6800003100,2012-04-03,2894800,AmerisourceBergen Corporation,ABC
38.4799995400,2012-04-04,2198700,AmerisourceBergen Corporation,ABC
38.2200012200,2012-04-05,2421900,AmerisourceBergen Corporation,ABC
38.4399986300,2012-04-09,2507400,AmerisourceBergen Corporation,ABC
38.3899993900,2012-04-10,3277700,AmerisourceBergen Corporation,ABC
38.7799987800,2012-04-11,2632900,AmerisourceBergen Corporation,ABC
38.8100013700,2012-04-12,3371600,AmerisourceBergen Corporation,ABC
37.5299987800,2012-04-13,3816300,AmerisourceBergen Corporation,ABC
37.4799995400,2012-04-16,2757300,AmerisourceBergen Corporation,ABC
38.2200012200,2012-04-17,2317000,AmerisourceBergen Corporation,ABC
37.4500007600,2012-04-18,3737000,AmerisourceBergen Corporation,ABC
37.4799995400,2012-04-19,2585400,AmerisourceBergen Corporation,ABC
37.7500000000,2012-04-20,2240500,AmerisourceBergen Corporation,ABC
37.4900016800,2012-04-23,2768900,AmerisourceBergen Corporation,ABC
37.5000000000,2012-04-24,2520300,AmerisourceBergen Corporation,ABC
37.8499984700,2012-04-25,2965800,AmerisourceBergen Corporation,ABC
36.9700012200,2012-04-26,4175200,AmerisourceBergen Corporation,ABC
36.9000015300,2012-04-27,3167000,AmerisourceBergen Corporation,ABC
37.2099990800,2012-04-30,2093400,AmerisourceBergen Corporation,ABC
37.2999992400,2012-05-01,4151300,AmerisourceBergen Corporation,ABC
37.2099990800,2012-05-02,2158700,AmerisourceBergen Corporation,ABC
36.5499992400,2012-05-03,3201400,AmerisourceBergen Corporation,ABC
36.1699981700,2012-05-04,2117100,AmerisourceBergen Corporation,ABC
35.9500007600,2012-05-07,3622400,AmerisourceBergen Corporation,ABC
36.1599998500,2012-05-08,4819800,AmerisourceBergen Corporation,ABC
36.0099983200,2012-05-09,2492400,AmerisourceBergen Corporation,ABC
36.5800018300,2012-05-10,4883100,AmerisourceBergen Corporation,ABC
36.6199989300,2012-05-11,1847100,AmerisourceBergen Corporation,ABC
36.6500015300,2012-05-14,1931800,AmerisourceBergen Corporation,ABC
36.4000015300,2012-05-15,1947600,AmerisourceBergen Corporation,ABC
36.7000007600,2012-05-16,3174600,AmerisourceBergen Corporation,ABC
36.4399986300,2012-05-17,2473900,AmerisourceBergen Corporation,ABC
35.9900016800,2012-05-18,3549300,AmerisourceBergen Corporation,ABC
36.0800018300,2012-05-21,1959600,AmerisourceBergen Corporation,ABC
36.2500000000,2012-05-22,2029100,AmerisourceBergen Corporation,ABC
36.3100013700,2012-05-23,2000000,AmerisourceBergen Corporation,ABC
36.4599990800,2012-05-24,1441200,AmerisourceBergen Corporation,ABC
36.9000015300,2012-05-25,1442500,AmerisourceBergen Corporation,ABC
36.5099983200,2012-05-29,2286200,AmerisourceBergen Corporation,ABC
