Exchange,Symbol,Name,Sector
NMS,AAPL,Apple Inc.,Technology
NMS,MSFT,Microsoft Corporation,Technology
NMS,GOOG,Alphabet Inc.,Communication Services
NMS,GOOGL,Alphabet Inc.,Communication Services
NMS,AMZN,"Amazon.com, Inc.",Consumer Cyclical
NYQ,BRK-B,Berkshire Hathaway Inc. New,Financial Services
NYQ,XOM,Exxon Mobil Corporation,Energy
NYQ,UNH,UnitedHealth Group Incorporated,Healthcare
NYQ,JNJ,Johnson & Johnson,Healthcare
NMS,NVDA,NVIDIA Corporation,Technology
NYQ,JPM,JP Morgan Chase & Co.,Financial Services
NYQ,WMT,Walmart Inc.,Consumer Defensive
NYQ,MA,Mastercard Incorporated,Financial Services
NYQ,PG,Procter & Gamble Company (The),Consumer Defensive
NYQ,CVX,Chevron Corporation,Energy
NYQ,LLY,Eli Lilly and Company,Healthcare
NYQ,HD,"Home Depot, Inc. (The)",Consumer Cyclical
NYQ,MRK,"Merck & Company, Inc.",Healthcare
NYQ,BAC,Bank of America Corporation,Financial Services
NYQ,ABBV,AbbVie Inc.,Healthcare
NYQ,KO,Coca-Cola Company (The),Consumer Defensive
NYQ,PFE,"Pfizer, Inc.",Healthcare
NMS,PEP,"Pepsico, Inc.",Consumer Defensive
NMS,AVGO,Broadcom Inc.,Technology
NYQ,ORCL,Oracle Corporation,Technology
NYQ,TMO,Thermo Fisher Scientific Inc,Healthcare
NMS,COST,Costco Wholesale Corporation,Consumer Defensive
NYQ,MCD,McDonald's Corporation,Consumer Cyclical
NYQ,NKE,"Nike, Inc.",Consumer Cyclical
NMS,CSCO,"Cisco Systems, Inc.",Technology
NYQ,ABT,Abbott Laboratories,Healthcare
NYQ,DHR,Danaher Corporation,Healthcare
NMS,TMUS,"T-Mobile US, Inc.",Communication Services
NYQ,DIS,Walt Disney Company (The),Communication Services
NYQ,ACN,Accenture plc,Technology
NMS,CMCSA,Comcast Corporation,Communication Services
NYQ,WFC,Wells Fargo & Company,Financial Services
NYQ,MS,Morgan Stanley,Financial Services
NYQ,VZ,Verizon Communications Inc.,Communication Services
NYQ,LIN,Linde plc,Basic Materials
NYQ,NEE,"NextEra Energy, Inc.",Utilities
NMS,TXN,Texas Instruments Incorporated,Technology
NMS,ADBE,Adobe Inc.,Technology
NYQ,COP,ConocoPhillips,Energy
NYQ,PM,Philip Morris International Inc,Consumer Defensive
NYQ,SCHW,Charles Schwab Corporation (The,Financial Services
NYQ,UPS,"United Parcel Service, Inc.",Industrials
NYQ,BMY,Bristol-Myers Squibb Company,Healthcare
NYQ,RTX,Raytheon Technologies Corporati,Industrials
NYQ,CRM,"Salesforce, Inc.",Technology
NMS,HON,Honeywell International Inc.,Industrials
NMS,NFLX,"Netflix, Inc.",Communication Services
NMS,AMGN,Amgen Inc.,Healthcare
NYQ,LOW,"Lowe's Companies, Inc.",Consumer Cyclical
NYQ,UNP,Union Pacific Corporation,Industrials
NYQ,T,AT&T Inc.,Communication Services
NMS,QCOM,QUALCOMM Incorporated,Technology
NYQ,DE,Deere & Company,Industrials
NYQ,CAT,"Caterpillar, Inc.",Industrials
NMS,TSLA,"Tesla, Inc.",Consumer Cyclical
NYQ,IBM,International Business Machines,Technology
NYQ,BA,Boeing Company (The),Industrials
NYQ,LMT,Lockheed Martin Corporation,Industrials
NMS,INTC,Intel Corporation,Technology
NYQ,CVS,CVS Health Corporation,Healthcare
NYQ,GS,"Goldman Sachs Group, Inc. (The)",Financial Services
NMS,AMD,"Advanced Micro Devices, Inc.",Technology
NYQ,AXP,American Express Company,Financial Services
NYQ,BLK,"BlackRock, Inc.",Financial Services
NMS,INTU,Intuit Inc.,Technology
NYQ,MDT,Medtronic plc.,Healthcare
NYQ,AMT,American Tower Corporation (REI,Real Estate
NMS,GILD,"Gilead Sciences, Inc.",Healthcare
NYQ,CI,Cigna Corporation,Healthcare
NYQ,C,"Citigroup, Inc.",Financial Services
NMS,ADP,"Automatic Data Processing, Inc.",Industrials
NYQ,TJX,"TJX Companies, Inc. (The)",Consumer Cyclical
NYQ,CB,Chubb Limited,Financial Services
NYQ,SYK,Stryker Corporation,Healthcare
NYQ,EL,"Estee Lauder Companies, Inc. (T",Consumer Defensive
NMS,PYPL,"PayPal Holdings, Inc.",Financial Services
NMS,ISRG,"Intuitive Surgical, Inc.",Healthcare
NMS,MDLZ,"Mondelez International, Inc.",Consumer Defensive
NMS,AMAT,"Applied Materials, Inc.",Technology
NMS,BKNG,Booking Holdings Inc. Common St,Consumer Cyclical
NYQ,PLD,"Prologis, Inc.",Real Estate
NYQ,SPGI,S&P Global Inc.,Financial Services
NYQ,GE,General Electric Company,Industrials
NYQ,MMC,"Marsh & McLennan Companies, Inc",Financial Services
NMS,ADI,"Analog Devices, Inc.",Technology
NYQ,NOW,"ServiceNow, Inc.",Technology
NYQ,SLB,Schlumberger N.V.,Energy
NYQ,MO,"Altria Group, Inc.",Consumer Defensive
NYQ,HCA,"HCA Healthcare, Inc.",Healthcare
NYQ,DUK,Duke Energy Corporation (Holdin,Utilities
NMS,VRTX,Vertex Pharmaceuticals Incorpor,Healthcare
